model_name,average_accuracy,average_precision,average_recall,average_f1,final_f1,worst_f1,retrain_count,total_retrain_time_seconds,average_retrain_time_seconds
Static Random Forest,0.99605,0.9989982432866904,0.9917643953675374,0.9953616267210359,0.9937578027465668,0.989247311827957,0,0.0,0.0
Adaptive Random Forest,0.99605,0.9989982432866904,0.9917643953675374,0.9953616267210359,0.9937578027465668,0.989247311827957,0,0.0,0.0
Adaptive LSTM,0.9636730575176587,0.9991429838273552,0.9240689770283017,0.9584015273198675,0.9974554707379136,0.8899082568807339,1,1.833692100131884,1.833692100131884
